,MolecularFormular,CAS No.,MolecularWeight,PhysicalForm,MeltingPoint,BoilingPoint,Density,RefractiveIndex,Solubility,SMILES
3748,C3H6F2O,453-13-4,96.076,,,127.0,1.2425,1.372520,,OC(CF)CF
3759,C6H10O3,2238-07-5,130.141,,,260.0,1.119520,,,C(OCC1CO1)C2CO2
3765,C22H34O4,3648-21-3,362.503,,,360.0,,,,CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC
3767,C12H27N,143-16-8,185.349,liq,-13.0(2),236.0,0.788920,1.433920,"s EtOH, eth",CCCCCCNCCCCCC
3771,C12H26S,6294-31-1,202.399,,,230.0,0.841120,1.458620,,CCCCCCSCCCCCC
3773,C14H12,613-31-0,180.245,tab or pr,109.00(1),305.0,1.21520,,"i H2O; s EtOH, eth, bz, chl",C1c2ccccc2Cc3ccccc13
3784,C9H8O2,119-84-6,148.159,lf,25,272.0,1.16918,1.556320,"i H2O; sl EtOH, eth, ctc; s chl",O=C1CCc2ccccc2O1
3793,C6H10O3,332-77-4,130.141,,,161.0,1.07325,1.433920,,COC1OC(OC)C=C1
3795,C11H12N2O,60-80-0,188.225,"lf or sc (eth, bz)",108.0(2),319.0,,,"vs H2O, EtOH",CN1N(C(=O)C=C1C)c2ccccc2
3796,C4H6O2,543-75-9,86.090,,,94.1,1.083620,1.437220,s ctc,C1COC=CO1
3809,C9H11N,24425-40-9,133.190,nd (peth),37.5,248.0,,,"sl H2O, chl; s eth, ace, bz",Nc1ccc2CCCc2c1
3810,C9H10O,6351-10-6,134.174,pl (peth),55(2),220.0,,,"vs bz, EtOH, chl",OC1CCc2ccccc12
3811,C9H10O,1470-94-6,134.174,,58,253.0,,,"sl H2O, peth; vs EtOH, eth; s sulf",Oc1ccc2CCCc2c1
3817,C8H7NO,480-91-1,133.148,nd (w),151,338.0,,,"vs eth, EtOH, chl",O=C1NCc2ccccc12
3822,C9H10O,1746-11-8,134.174,,,197.5,1.06125,1.5308,,CC1Cc2ccccc2O1
3825,C5H8O2,1679-47-6,100.117,liq,,200.0,1.057020,1.432520,,CC1CCOC1=O
3828,C4H8N2,534-26-9,84.120,hyg,107,196.5,,,"vs H2O, EtOH; i eth; s chl",C[C+]1NCCN1
3836,C4H7NS,2346-00-1,101.171,liq,-101,145.0,1.06725,1.520020,,CC1=NCCS1
3839,C10H10O,530-93-8,146.185,,18,237.0,1.105527,1.559820,"i H2O; s eth, bz",O=C1CCc2ccccc2C1
3853,C5H8O,3174-74-1,84.117,liq,,95.0,0.9419,,,C1CC=CCO1
3854,C3H6N2,109-98-8,70.093,,,144.0,1.020017,1.479617,"vs H2O, eth, EtOH",C1CC=NN1
3865,C4H6S,1708-32-3,86.156,,,122.4,,,,C1SCC=C1
3872,C18H20,3910-35-8,236.352,tcl pr (al),52(1),308.5,1.000920,1.568120,"i H2O; s EtOH, bz, MeOH",CC1(C)CC(C)(c2ccccc2)c3ccccc13
3873,C12H15N,147-47-7,173.254,,26.5,260.0,,,,CC1=CC(C)(C)Nc2ccccc12
3881,C7H6O3,24677-78-9,138.121,ye nd,108,235.0,,,"vs ace, EtOH, HOAc",Oc1cccc(C=O)c1O
3894,C13H10O3,835-11-0,214.216,,59.5,333.0,,,"i H2O; s EtOH, eth, chl",Oc1ccccc1C(=O)c2ccccc2O
3907,C13H12O2,2467-02-9,200.233,,118.3,363.0,1.28025,,,Oc1ccccc1Cc2ccccc2O
3947,C6H4I2,615-42-9,329.905,pl or pr (lig),23.5(7),287.0,2.5420,1.717920,i H2O; sl EtOH,Ic1ccccc1I
3948,C6H4I2,626-00-6,329.905,orth pl or pr (eth-al),34.2(6),285.0,2.4725,,"i H2O; vs eth, EtOH, chl",Ic1cccc(I)c1
3949,C6H4I2,624-38-4,329.905,orth lf (al),129.25(5),285.0,,,i H2O; s EtOH; vs eth; sl chl,Ic1ccc(I)cc1
3951,C2H4I2,624-73-7,281.862,ye mcl pr or orth (eth),83,200.0,3.32520,1.87120,"sl H2O; s EtOH, eth, ace, chl",ICCI
3955,CH2I2,75-11-6,267.836,ye nd or lf,6.0(2),182.0,3.321120,1.741120,"sl H2O, ctc; s EtOH, eth, bz, chl",ICI
3963,C8H19N,110-96-3,129.244,liq,-73.5(4),139.6,,1.409020,"sl H2O, ctc; s EtOH, eth, ace, bz",CC[C@H](C)[NH2+][C@H](C)CC
3968,C16H22O4,84-69-5,278.344,,,296.5,1.049015,,s ctc,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
3975,C24H38O4,27554-26-3,390.557,,,370.0,,,,CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C
3979,C10H22S,544-02-5,174.347,liq,-74.6,211.0,0.832320,1.452020,i H2O; msc EtOH; vs eth,CC(C)CCSCCC(C)C
3989,C7H14N2,693-13-0,126.199,,,147.0,0.80625,1.432020,,CC(C)N=C=NC(C)C
4001,C10H18O6,58167-01-4,234.246,,34,275.0,1.116620,,"vs ace, eth, EtOH",CC(C)OC(=O)[C@H](O)[C@@H](O)C(=O)OC(C)C
4012,C4H10OS2,2150-02-9,138.251,liq,-80,217.0,1.11420,,,SCCOCCS
4021,C8H11NO2,2735-04-8,153.179,pl (lig),33.5,262.0,,,"sl H2O, chl; s EtOH, eth, bz, lig",COc1ccc(N)c(OC)c1
4024,C9H10O3,613-45-6,166.173,nd (al or lig),72,290.0,,,"i H2O; s EtOH, eth, bz; sl chl",COc1ccc(C=O)c(OC)c1
4025,C9H10O3,93-02-7,166.173,,52,270.0,,,"sl H2O; s EtOH, eth",COc1ccc(OC)c(C=O)c1
4026,C9H10O3,120-14-9,166.173,"nd (eth, lig, to)",43,281.0,,,"sl H2O, chl; vs EtOH, eth",COc1ccc(C=O)cc1OC
4035,C9H12O3,93-03-8,168.189,visc oil,,298.0,1.17817,1.55517,"s H2O, EtOH",COc1ccc(CO)cc1OC
4045,C2H7BO2,4542-61-4,73.887,vol liq or gas,-130.6,25.9,,,dec H2O,COBOC
4048,C4H12O2Si,1112-39-6,120.223,,,82.0,0.864620,1.370820,dec H2O,CO[Si](C)(C)OC
4049,C14H16O2Si,6843-66-9,244.362,,,286.0,1.077120,1.544720,,CO[Si](OC)(c1ccccc1)c2ccccc2
4054,C10H14O2,101-48-4,166.217,,,193.5,,,,COC(Cc1ccccc1)OC
4062,C9H12O2,4179-19-5,152.190,,,244.0,1.047815,1.523420,"vs bz, eth, EtOH",COc1cc(C)cc(OC)c1
4063,C9H12O2,24599-58-4,152.190,,21,214.0,,,,COc1ccc(OC)c(C)c1
4064,C5H13NO2,4637-24-5,119.163,,,104.0,0.89725,1.397220,,COC(OC)[NH+](C)C
4065,C5H13NO2,122-07-6,119.163,,,140.0,0.92825,1.411520,,CNCC(OC)OC
4071,C10H12O3,1131-62-0,180.200,pr (dil al),51,287.0,,,"vs H2O, bz, EtOH, chl",COc1ccc(cc1OC)C(C)=O
4075,C5H10O2,6044-68-4,102.132,,,88.0,0.86225,1.395420,,COC(OC)C=C
4076,C11H14O2,6379-72-2,178.228,,18,270.5,1.052120,1.561620,,COc1ccc(\C=C\C)cc1OC
4077,C12H14O4,484-31-1,222.237,oil,29.5,285.0,1.159815,1.530517,,COc1c(CC=C)cc2OCOc2c1OC
4097,C4H12BN,1113-30-0,84.956,liq,-92,65.0,,,"vs eth, ace",CB(C)N(C)C
4106,C8H11NO,99-07-0,137.179,nd (lig),86,266.5,,1.589526,"i H2O; s EtOH, eth, ace, bz, CS2",CN(C)c1cccc(O)c1
4112,C5H13NO,15521-18-3,103.163,,,150.3,0.882026,,s H2O,CC(CO)N(C)C
4113,C5H13NO,3179-63-3,103.163,,,163.5,0.87225,1.436020,s ctc,CN(C)CCCO
4115,C5H13NO,108-16-7,103.163,,,124.5,0.83725,1.419320,s ctc,CC(O)CN(C)C
4121,C8H11N,95-78-3,121.180,ye lf (lig),6(1),214.0,0.979021,1.559121,"sl H2O; s eth, ctc",Cc1ccc(C)c(N)c1
4123,C8H11N,95-64-7,121.180,pl or pr (lig),49(1),228.0,1.07618,,"sl H2O, chl; s eth; vs lig",Cc1ccc(N)cc1C
4125,C8H11N,611-21-2,121.180,,,207.5,0.970920,1.564920,"i H2O; msc EtOH, eth; s ace",CNc1ccccc1C
4126,C8H11N,696-44-6,121.180,,,206.5,0.966020,1.555725,"i H2O; msc EtOH, eth; s ace",CNc1cccc(C)c1
4131,C9H12O,874-63-5,136.190,,,194.0,0.962715,1.511020,"i H2O; s EtOH, eth, bz, CS2; sl ctc",COc1cc(C)cc(C)c1
4132,C16H14,781-43-1,206.282,,186.4(5),360.0,,,i H2O,Cc1c2ccccc2c(C)c3ccccc13
4134,C2H7As,593-57-7,105.999,"liq, ign in air",-136.1,36.0,1.20829,,"vs ace, bz, eth, EtOH",C[AsH]C
4137,C9H10O,15764-16-6,134.174,liq,-9,218.0,,,"s EtOH; s eth, ace, bz; sl chl",Cc1ccc(C=O)c(C)c1
4138,C9H10O,5779-94-2,134.174,,,220.0,0.950020,,"vs EtOH; s eth, ace, bz, ctc",Cc1ccc(C)c(C=O)c1
4140,C9H11NO,611-74-5,149.189,,43.8(5),272.0,,,,CN(C)C(=O)c1ccccc1
4143,C8H12N2,2836-03-5,136.194,oil,,218.0,0.99522,,"sl H2O; vs EtOH, eth, ace, bz",CN(C)c1ccccc1N
4144,C8H12N2,2836-04-6,136.194,,<-20,270.0,0.99525,,"sl H2O; vs EtOH, eth",[H+].[H+].[Cl-].[Cl-].CN(C)c1cccc(N)c1
4146,C8H10O2,488-87-9,138.164,"nd (bz), pr (w)",163,278.5,,,"s H2O, EtOH, eth",Cc1cc(O)c(C)c(O)c1
4148,C10H15N,93-88-9,149.233,,,207.5,0.91525,,"vs bz, eth, EtOH",CNCC(C)c1ccccc1
4149,C10H15N,122-09-8,149.233,oily liq,,205.0,,,,CC(C)(N)Cc1ccccc1
4150,C9H13N,585-32-0,135.206,,,196.5,0.942320,1.518125,,CC(C)(N)c1ccccc1
4152,C9H12O,617-94-7,136.190,pr,37(1),202.0,0.973520,1.532520,"i H2O; s EtOH, eth, bz, HOAc",CC(C)(O)c1ccccc1
4157,C9H10O2,611-01-8,150.174,mcl or tcl nd (w),127,268.0,,,"sl H2O; s EtOH, ace, bz, chl, HOAc, tol",Cc1ccc(c(C)c1)C(O)=O
4164,C9H9NO,5676-58-4,147.173,,,218.5,1.088018,1.541220,s ctc,Cc1oc2ccc(C)cc2n1
4166,C9H14O,38651-65-9,138.206,liq,-1,209.0,0.980720,1.478720,"vs eth, EtOH",CC1(C)C2CCC(=O)C1C2
4167,C11H18O,128-50-7,166.260,,,235.0,0.97325,1.493020,s chl,CC1(C)C2CC=C(CCO)C1C2
4173,C6H13NO,760-79-2,115.173,liq,-40,186.0,0.906425,1.439125,"vs ace, bz, eth, EtOH",CCCC(=O)N(C)C
4184,C6H14O,20281-91-8,102.174,,5.6,120.4,0.812225,1.414820,"sl H2O; vs EtOH, eth",CC(O)C(C)(C)C
4212,C10H21N,101-40-6,155.281,,,205.0,0.850120,1.460020,vs EtOH,CNC(C)CC1CCCCC1
4214,C8H14O,1193-47-1,126.196,liq,-20.5,172.0,0.914520,1.448620,,CC1(C)CCCCC1=O
4216,C8H14O,2979-19-3,126.196,,,180.0,0.90915,1.448217,,CC1(C)CCCC(=O)C1
4221,C8H12O,1123-09-7,124.180,,,208.5,0.940020,1.481220,"s EtOH, eth",CC1CC(=CC(=O)C1)C
4227,C9H19N,102-45-4,141.254,,,171.0,,1.450020,,CNC(C)CC1CCCC1
4229,C7H12,16491-15-9,96.170,liq,-118.5(5),99.0,0.78020,1.433120,,CC1CCC=C1C
4234,C6H12O4Si,2182-66-3,176.243,liq,-12.5,165.0,1.054020,1.403020,,CC(=O)O[Si](C)(C)OC(C)=O
4235,C2H6N2,4143-41-3,58.082,gas,-78,1.5,0.7430,1.419919,"vs ace, EtOH, eth; s ctc, hp",CN=NC
4244,C14H16Si,778-24-5,212.363,,,277.0,0.986720,1.564420,,C[Si](C)(c1ccccc1)c2ccccc2
4245,C15H16N2O,611-92-7,240.300,pl (al),121.6(7),350.0,,,"vs H2O, EtOH, ace; sl eth, bz, CS2",CN(C(=O)N(C)c1ccccc1)c2ccccc2
4250,C4H12N2,108-00-9,88.151,,,104.0,0.80325,1.426020,,CN(C)CCN
4251,C4H12N2,110-70-3,88.151,,,120.0,0.82815,,"s EtOH, eth, dil HCl",CNCCNC
4255,C7H14O2,7665-72-7,130.185,liq,-70,152.0,0.89820,,,CC(C)(C)OCC1CO1
4257,C6H8O4,624-49-7,144.126,,101.7(7),193.0,1.3720,1.4062111,"i H2O; s ace, chl",COC(=O)\C=C\C(=O)OC
4259,C6H6O3,766-39-2,126.110,pl or lf (dil al),96,223.0,1.107100,,"sl H2O; vs EtOH, eth, bz, chl",CC1=C(C)C(=O)OC1=O
4260,C2H6GeS,16090-49-6,134.77,col cry,54.5,302.0,,,,C[Ge](C)=S
4281,C9H19N,503-01-5,141.254,,,177.0,,,"vs eth, EtOH",CNC(C)CCC=C(C)C.O[C@H]([C@@H](O)C(O)=O)C(O)=O
4291,C8H20N2,23578-35-0,144.258,,,184.0,0.848515,1.445920,,CC(C)(N)CCC(C)(C)N
4301,C8H16O,3329-48-4,128.212,,,146.5,0.838220,1.434220,,CC(C)CC(C)(O)C=C
4310,C5H8N2,1739-84-0,96.131,,,206.0,1.005111,,"vs H2O, eth, EtOH",Cn1ccnc1C
4311,C5H8N2,930-62-1,96.131,,92,267.0,,,,Cc1[nH]c(C)nc1
4314,C10H11N,875-30-9,145.201,nd,142,258.5,,,s eth,Cn1cc(C)c2ccccc12
4320,C15H18,483-78-3,198.304,,,294.0,0.966725,1.578525,vs oils,CC(C)c1ccc(C)c2ccc(C)cc12
4328,C2H6Hg,593-74-8,230.66,liq,,93.0,3.1725,1.545220,"i H2O; vs EtOH, eth",C[Hg]C
4329,C7H10O4,617-54-9,158.152,,,210.5,1.115320,1.447320,"vs ace, eth, EtOH",COC(=O)\C=C(/C)C(=O)OC
4330,C7H10O4,617-52-7,158.152,hyg mcl (MeOH),38,208.0,1.124118,1.445720,"s EtOH, eth, MeOH; vs ace",COC(=O)CC(=C)C(=O)OC
4333,C10H16O2,4638-92-0,168.233,pr,20.0,245.0,,,"vs eth, EtOH, chl",CC(C)=C[C@@H]1[C@H](C(O)=O)C1(C)C
4334,C7H12O4,1604-11-1,160.168,,,196.0,1.07625,1.420020,,COC(=O)CC(C)C(=O)OC
4349,C12H13N,86-56-6,171.238,viol flr cry,,250.0,1.042320,1.62415,"i H2O; s EtOH, eth, ctc",CN(C)c1cccc2ccccc12
4352,C8H10N2O2,619-31-8,166.177,red mcl pr (eth),60(2),282.5,1.31317,,"i H2O; s EtOH, eth",CN(C)c1cccc(c1)[N+]([O-])=O
4354,C8H9NO2,83-41-0,151.163,nd (al),14(1),240.0,1.140220,1.544120,"i H2O; s EtOH, ctc",Cc1cccc(c1C)[N+]([O-])=O
4355,C8H9NO2,99-51-4,151.163,ye pr (al),28(1),251.0,1.11215,1.520220,i H2O; msc EtOH,Cc1ccc(cc1C)[N+]([O-])=O
4356,C8H9NO2,81-20-9,151.163,,15.2(7),226.0,1.11215,1.520220,i H2O; vs EtOH; s ctc,Cc1cccc(C)c1[N+]([O-])=O
4357,C8H9NO2,99-12-7,151.163,nd (al),75,274.0,,,"i H2O; vs EtOH, eth",Cc1cc(C)cc(c1)[N+]([O-])=O
4358,C8H9NO2,89-58-7,151.163,pa ye liq,-25,240.5,1.13215,1.541320,i H2O; s EtOH,Cc1ccc(C)c(c1)[N+]([O-])=O
4364,C9H14,529-16-8,122.207,,,140.5,0.869817,1.468817,"s eth, ace, bz",CC1=C(C)C2CCC1C2
4368,C10H16O,141-27-5,152.233,,,229.0,0.888820,1.489820,"i H2O; msc EtOH, eth",CC(C)=CCC\C(C)=C\C=O
4380,C10H22,15869-94-0,142.282,,,160.8,0.732425,1.413920,,CCC(C)CCC(C)CC
4382,C10H22O2,107-74-4,174.281,,,265.0,0.93720,1.459920,"sl bz, tol",CC(CCO)CCCC(C)(C)O
4389,C10H22O,78-69-3,158.281,,,205.1,0.82625,1.43325,,CCC(C)(O)CCCC(C)C
4394,C10H16,3016-19-1,136.234,liq,-35.4,188.0,0.811820,1.544620,,C/C=C(C)/C=C/C=C(C)C
4397,C10H18O2,502-47-6,170.249,,,257.0,0.923421,,,CC(CCC=C(C)C)CC(O)=O
4398,C10H20O,1117-61-9,156.265,oil,,224.0,0.855020,1.456520,"sl H2O; msc EtOH, eth",C[C@@H](CCO)CCC=C(C)C
4399,C10H20O,7540-51-4,156.265,oil,,224.0,0.85918,1.457618,"vs eth, EtOH",C[C@H](CCO)CCC=C(C)C
4412,C6H10O3,815-17-8,130.141,,90.5,189.0,,,"sl H2O; s eth, bz, chl, CS2",CC(C)(C)C(=O)C(O)=O
4455,C10H12O,89-74-7,148.201,,,228.0,1.012115,1.534020,"vs eth, EtOH",CC(=O)c1ccc(C)cc1C
4456,C10H12O,2142-73-6,148.201,liq,-18.1(7),232.5,0.996319,1.529120,"i H2O; vs EtOH, eth, bz, CS2",CC(=O)c1cc(C)ccc1C
4459,C11H14O,938-16-9,162.228,,,220.0,0.96326,1.508619,s ace,CC(C)(C)C(=O)c1ccccc1
4460,C11H12N2,1131-16-4,172.226,,,272.0,1.056620,1.573819,"vs eth, EtOH, chl",Cc1cc(C)n(n1)c2ccccc2
4466,C2H7P,676-59-5,62.051,vol liq or gas,,25.0,,,"i H2O; s EtOH, eth",CPC
4467,C2H7O2P,3283-12-3,94.050,cry (bz),92,377.0,,,"vs H2O, EtOH, eth; s bz",C[P](C)(O)=O
4473,C7H15N,2512-81-4,113.201,,,127.5,0.82415,1.439520,"vs H2O, eth, EtOH",
4496,C7H8O2,675-09-2,124.138,lf (eth),51.5,245.0,,,"vs H2O, eth, EtOH",CC1=CC(=CC(=O)O1)C
4497,C7H8O2,1004-36-0,124.138,"pl, nd (sub)",132.1(2),251.0,0.9953137,,"s H2O, EtOH, eth, ace",CC1=CC(=O)C=C(C)O1
4500,C6H8N2,108-50-9,108.141,pr,47.5,155.6,0.964750,,"s H2O, EtOH, eth; sl ctc",Cc1cncc(C)n1
4501,C5H8N2,694-48-4,96.131,,,137.0,0.956117,1.473415,vs H2O,Cn1ccc(C)n1
4502,C5H8N2,67-51-6,96.131,"cry (peth, al)",107.5,218.0,0.883916,,"s H2O, ace; vs EtOH, eth, bz, MeOH",Cc1[nH]nc(C)c1
4504,C7H10N2,5407-87-4,122.167,,61,235.0,,,,Cc1cc(C)nc(N)c1
4505,C7H10N2,5683-33-0,122.167,,182,196.0,1.014914,1.566320,"s EtOH, eth, bz",CN(C)c1ccccn1
4528,C2H8Si,1111-74-6,60.171,col gas,-150,-20.0,0.68-80,,,C[SiH2]C
4536,C6H12O2S,1003-78-7,148.223,liq,-1.5,281.0,1.136220,1.473220,vs lig,CC1CC(C)[S](=O)(=O)C1
4539,C6H10O6,608-68-4,178.139,(i) cry (bz) (ii) cry (w),59(5),280.0,1.30645,,"vs H2O, ace, eth, EtOH",COC(=O)[C@@H](O)[C@@H](O)C(=O)OC
4540,C2H6Te,593-80-6,157.67,pa ye,,94.0,,,vs EtOH,C[Te]C
4541,C10H10O4,120-61-6,194.184,,140.602(4),288.0,1.075141,,"sl H2O, EtOH, MeOH; s eth, chl",COC(=O)c1ccc(cc1)C(=O)OC
4544,C4H6N2S,27464-82-0,114.169,,65,202.5,,,"sl H2O, EtOH, eth",Cc1sc(C)nn1
4547,C5H7NS,3581-91-7,113.182,,83.5,158.0,1.069920,,"vs eth, EtOH",Cc1scnc1C
4553,C6H8S,632-15-5,112.193,,,145.0,0.99325,1.520620,i H2O; s EtOH; vs eth,Cc1cscc1C
4562,C3H8N2O,96-31-1,88.108,orth bipym (chl-eth),106(2),269.0,1.14225,,"vs H2O, EtOH; i eth; sl chl",CNC(=O)NC
4583,C6H4N2O4,100-25-4,168.107,nd (al),171.1(9),297.0,1.62518,,"i H2O; sl EtOH, chl; s ace, bz, tol",[O-][N+](=O)c1ccc(cc1)[N+]([O-])=O
4591,C12H8N2O4,2436-96-6,244.203,ye mcl pr or nd (al),127(1),305.0,1.4525,,"i H2O; vs EtOH; s eth, bz; sl ace, lig",[O-][N+](=O)c1ccccc1c2ccccc2[N+]([O-])=O
4598,C2H4N2O4,600-40-8,120.064,"ye mcl (bz, MeOH)",,185.5,1.34924,,"sl H2O; s EtOH, eth",CC([N+]([O-])=O)[N+]([O-])=O
4627,C18H38O,2456-27-1,270.494,liq,,318.0,0.81,1.435620,,CCCCCCCCCOCCCCCCCCC
4629,C26H42O4,84-76-4,418.609,,,413.0,,,,CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC
4640,C24H38O4,4654-26-6,390.557,cry,,425.0,1.2162,,,CCCCCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCCCCC
4645,C4H4O4,4480-83-5,116.073,cry (bz),92.5,240.5,,,,O=C1COCC(=O)O1
4667,C14H10,501-65-5,178.229,mcl pr or pl (al),62(2),300.0,0.9657100,,"i H2O; sl EtOH, chl; vs eth",c1ccc(cc1)C#Cc2ccccc2
4673,C12H10AsCl,712-48-1,264.582,orth pl (peth),44,337.0,1.482016,1.633256,"vs ace, bz, eth, EtOH",Cl[As](c1ccccc1)c2ccccc2
4678,C16H14,538-81-8,206.282,"lf (al, HOAc)",149(4),352.0,,,"vs bz, eth, EtOH, peth",c1ccc(cc1)\C=C\C=C\c2ccccc2
4680,C16H18,719-79-9,210.314,,27,287.0,0.992820,1.566420,"i H2O; s EtOH, eth, bz, chl",CCCC(c1ccccc1)c2ccccc2
4684,C16H16,7614-93-9,208.298,,47.5,311.0,0.999620,1.59015,,CC(\C=C\c1ccccc1)c2ccccc2
4686,C16H14O,495-45-4,222.281,,,342.5,1.108015,1.634320,"vs eth, EtOH",C\C(=C/C(=O)c1ccccc1)c2ccccc2
4689,C13H10N2,622-16-2,194.231,,169,331.0,,,"sl H2O, EtOH, eth; s bz",c1ccc(cc1)N=C=Nc2ccccc2
4690,C13H10O3,102-09-0,214.216,"nd (al, bz)",78.9(3),306.0,1.121587,,"i H2O; s EtOH, eth, ctc, HOAc",O=C(Oc1ccccc1)Oc2ccccc2
4694,C12H10S2,882-33-7,218.337,nd(al) or orth,60.4(5),310.0,1.35320,,"i H2O; s EtOH, eth, bz, CS2",S(Sc1ccccc1)c2ccccc2
4704,C13H11NO,607-00-1,197.232,orth (dil al),73.5,337.5,,,"i H2O; s EtOH, eth, bz; sl ctc",O=CN(c1ccccc1)c2ccccc2
4705,C16H12O,955-83-9,220.265,nd or lf (dil al),91,344.0,,,"i H2O; vs EtOH, eth; s ace, bz",o1c(ccc1c2ccccc2)c3ccccc3
4712,C14H10O,525-06-4,194.228,red-ye liq,,267.5,1.110713,1.61514,,O=C=C(c1ccccc1)c2ccccc2
4724,C15H11NO,92-71-7,221.254,nd (lig),71(3),360.0,1.0940100,1.6231100,"i H2O; vs EtOH, eth; sl chl",o1c(cnc1c2ccccc2)c3ccccc3
4727,C12H10ClP,1079-66-9,220.634,hyg ye liq,,320.0,1.229,1.636020,,ClP(c1ccccc1)c2ccccc2
4731,C15H16,1081-75-0,196.288,liq,6,300.0,1.00720,1.576020,,C(Cc1ccccc1)Cc2ccccc2
4734,C15H14O,1083-30-3,210.271,lf (EtOH),72.5,360.0,,,,O=C(CCc1ccccc1)c2ccccc2
4735,C15H14O,781-35-1,210.271,,46,307.0,,1.536116,"s EtOH, eth, bz, chl, lig",CC(=O)C(c1ccccc1)c2ccccc2
4743,C12H10Se,1132-39-4,233.17,ye nd (bz),1.3,301.5,1.35120,1.550020,"i H2O; msc EtOH, eth; s bz, xyl",[Se](c1ccccc1)c2ccccc2
4747,C16H14O4,621-14-7,270.280,lf (al),121,330.0,,,"i H2O; s EtOH, eth, ace, bz",O=C(CCC(=O)Oc1ccccc1)Oc2ccccc2
4749,C12H10O2S,127-63-9,218.271,"mcl pr(bz),pl(al)",127(3),379.0,1.25220,,"i H2O; s EtOH, eth, bz",O=[S](=O)(c1ccccc1)c2ccccc2
4755,C2Cl4O2,503-38-8,197.832,liq,-57,128.0,1.652514,1.456622,"vs eth, EtOH",ClC(=O)OC(Cl)(Cl)Cl
4756,C12H24N2,1932-04-3,196.332,liq,-0.5,265.0,0.916025,1.485325,,C1CCN(CC1)CCN2CCCCC2
4757,C11H22N2,880-09-1,182.306,,,230.0,0.926920,1.482020,,C1CCN(CC1)CN2CCCCC2
4758,C13H26N2,16898-52-5,210.358,,67.1,329.0,,,vs H2O,C(CC1CCNCC1)CC2CCNCC2
4760,C10H14O5,4074-88-8,214.215,,,200.0,1.111025,1.459525,,C=CC(=O)OCCOCCOC(=O)C=C
4766,C7H16O2,505-84-0,132.201,liq,-97.3,140.5,0.834520,1.393919,"vs ace, bz, eth, EtOH",CCCOCOCCC
4803,C4H8S2,505-29-3,120.237,mcl pr,111.4(3),199.5,,,"sl H2O; s EtOH, eth, ctc, CS2, HOAc",C1CSCCS1
4813,C3H6S2,4829-04-3,106.210,liq,-50,175.0,1.25917,1.597515,"s EtOH, eth, xyl",C1CSCS1
4814,C3H4S3,822-38-8,136.259,,35,307.0,,,,S=C1SCCS1
4827,C8H12,6553-48-6,108.181,,,112.5,0.781720,1.445120,,C=CC1CCC1C=C
4831,C4H6O2S,77-77-0,118.155,liq,-26,234.5,1.17725,1.476520,,C=C[S](=O)(=O)C=C
4833,C8H18OSi2,2627-95-4,186.399,liq,-99.7,39.0,0.81120,1.412320,,C[Si](C)(O[Si](C)(C)C=C)C=C
4840,C22H44,1599-67-3,308.584,,38,367.0,0.79425,,,CCCCCCCCCCCCCCCCCCCCC=C
4864,C14H28O2,112-66-3,228.371,,1.2(2),265.0,0.865222,1.443920,,CCCCCCCCCCCCOC(C)=O
4873,C18H36,1795-17-1,252.479,,12.6(4),331.0,0.822320,1.455920,,CCCCCCCCCCCCC1CCCCC1
4885,C12H22,765-03-7,166.303,liq,-19,215.0,0.778820,1.434020,,CCCCCCCCCCC#C
4908,C20H60O8Si9,2652-13-3,681.455,,,307.5,0.917320,1.398020,vs bz,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
4913,C20H42O,629-96-9,298.546,"wax (al), cry (chl)",63.9(9),356.0,0.840520,1.435020,"i H2O; sl EtOH, chl; vs ace; s bz, peth",CCCCCCCCCCCCCCCCCCCCO
4915,C20H40,3452-07-1,280.532,,28.5,341.0,0.788230,1.444030,"i H2O; s bz, peth",CCCCCCCCCCCCCCCCCCC=C
4932,C10H15NO,321-98-2,165.232,pl (w),40,225.0,,,"s H2O, EtOH, eth, bz, chl",CN[C@H](C)[C@@H](O)c1ccccc1
4934,C10H15NO,299-42-3,165.232,pl (w + 1),40,225.0,1.008522,,"s H2O, EtOH, eth, bz, chl",CN[C@@H](C)[C@H](O)c1ccccc1
4940,C8H12O2,106-87-6,140.180,liq,<-55,227.0,1.096620,1.478720,vs H2O,C1CC2OC2CC1C3CO3
4945,C7H10O3,106-91-2,142.152,,,189.0,1.04220,1.44825,"vs bz, eth, EtOH",CC(=C)C(=O)OCC1CO1
5011,C4H6O4,629-15-2,118.089,,,174.0,1.1930,1.3580,"sl H2O; s EtOH, eth",O=COCCOC=O
5013,C10H14O4,97-90-5,198.216,liq,-40,260.0,1.05320,1.453225,"vs bz, EtOH, lig",CC(=C)C(=O)OCCOC(=O)C(C)=C
5022,C2H4O3S,3741-38-6,108.116,liq,-11,173.0,1.440220,1.446320,"vs H2O, EtOH, eth, ace, bz, AcOEt; sl chl",O=[S]1OCCO1
